Brand=["Mekhala"],Reporting Range=["Monthly"],Select year=["2023"],Select month=["September"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"muoi tom","941","132","2227","109","4.89","64","48.48","1","1.56","15.5","7.99","0","12","7","23","17.42","1","4.35","15.5","7.99","0","3","3","4","3.03","0","0.0","15.5",,"0","1","0","2023-09-30"
"mekhala thai curry paste","566","2","124","10","8.06","1","50.0","1","100.0","39.99","39.99","0","1","0","1","50.0","1","100.0","39.99","39.99","0","1","0","1","50.0","1","100.0","39.99","39.99","0","1","0","2023-09-30"
"marinade","724","12832","278742","287","0.1","4136","32.23","3","0.07","4.69","6.49","96","429","324","2614","20.37","2","0.08","4.39","6.49","64","173","148","1147","8.94","0","0.0","4.58",,"23","68","50","2023-09-30"
"lemon paste","874","601","16119","402","2.49","225","37.44","2","0.89","14.31","7.99","1","46","40","80","13.31","0","0.0","13.95",,"1","19","16","26","4.33","0","0.0","12.95",,"0","3","8","2023-09-30"
"organic preserved lemons","524","42","1044","37","3.54","18","42.86","1","5.56","12.99","6.49","0","2","3","9","21.43","1","11.11","11.15","6.49","0","1","3","4","9.52","1","25.0","11.15","6.49","0","1","1","2023-09-30"
"sambal oelek sauce","737","1214","25699","517","2.01","443","36.49","2","0.45","5.19","6.49","0","7","3","281","23.15","1","0.36","5.19","6.49","0","2","1","132","10.87","0","0.0","5.19",,"0","0","0","2023-09-30"
"organic tomato paste","217","3350","81474","702","0.86","2136","63.76","3","0.14","3.19","6.49","23","216","223","1603","47.85","3","0.19","2.42","6.49","14","120","117","770","22.99","1","0.13","2.33","6.49","4","51","39","2023-09-30"
"miso paste organic","50","2943","64252","2214","3.45","1570","53.35","24","1.53","9.17","6.49","29","172","122","1020","34.66","11","1.08","8.79","6.49","13","85","64","400","13.59","7","1.75","8.63","6.49","3","35","20","2023-09-30"
"thai basil seasoning","212","121","3015","96","3.18","66","54.55","7","10.61","10.0","7.99","1","14","24","28","23.14","5","17.86","9.99","7.99","1","7","10","10","8.26","1","10.0","10.0","7.89","1","3","5","2023-09-30"
"organic radish","295","910","18289","560","3.06","632","69.45","2","0.32","2.49","6.39","0","0","0","600","65.93","1","0.17","2.49","6.39","0","0","0","288","31.65","1","0.35","2.49","6.39","0","0","0","2023-09-30"
"sauce","738","38030","800023","184","0.02","8386","22.05","4","0.05","4.94","6.49","342","1089","919","4942","13.0","2","0.04","4.13","6.49","183","522","374","1819","4.78","0","0.0","4.13",,"70","159","104","2023-09-30"
"lamb","267","43012","912459","1224","0.13","12054","28.02","3","0.02","12.99","6.49","14","101","138","6654","15.47","2","0.03","11.99","6.49","3","30","34","2714","6.31","0","0.0","15.79",,"0","11","8","2023-09-30"
"curry cubes","840","1379","35375","262","0.74","619","44.89","1","0.16","6.49","6.49","80","191","221","278","20.16","1","0.36","5.49","6.49","45","97","80","109","7.9","0","0.0","2.92",,"22","49","26","2023-09-30"
"tom yum paste no msg","393","34","1151","102","8.86","25","73.53","11","44.0","7.99","7.39","1","14","6","5","14.71","3","60.0","7.29","7.29","0","5","0","1","2.94","0","0.0","11.44",,"0","1","0","2023-09-30"
"garlic cilantro sauce","489","136","2947","56","1.9","33","24.26","1","3.03","14.95","7.99","1","10","10","10","7.35","1","10.0","8.99","7.99","1","1","3","2","1.47","1","50.0","6.29","7.99","0","1","0","2023-09-30"
"szechuan chili paste","500","26","701","48","6.85","10","38.46","1","10.0","8.99","7.99","0","5","2","7","26.92","1","14.29","8.99","7.99","0","3","1","3","11.54","1","33.33","8.99","7.99","0","1","1","2023-09-30"
"tom ka paste","354","93","2378","47","1.98","74","79.57","3","4.05","9.75","6.49","0","23","22","42","45.16","2","4.76","7.99","6.49","0","17","12","20","21.51","1","5.0","7.99","6.49","0","7","6","2023-09-30"
"yellow curry pasye","515","2","38","4","10.53","5","250.0","2","40.0","7.99","7.99","0","0","4","1","50.0","1","100.0","7.99","7.99","0","0","1","1","50.0","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"rendeng","588","4","65","7","10.77","3","75.0","1","33.33","9.99","18.9","0","1","2","1","25.0","1","100.0","18.9","18.9","0","1","0","1","25.0","1","100.0","18.9","18.9","0","1","0","2023-09-30"
"rendang","56","671","18405","1280","6.95","347","51.71","34","9.8","8.23","7.89","10","81","142","138","20.57","14","10.14","8.1","7.89","4","41","54","59","8.79","5","8.47","8.22","7.89","3","17","25","2023-09-30"
"thai sauce","142","2538","57901","720","1.24","931","36.68","13","1.4","8.49","6.49","30","153","126","389","15.33","4","1.03","6.99","6.49","16","53","48","129","5.08","2","1.55","6.79","6.49","6","9","7","2023-09-30"
"tikka paste mild","502","10","192","10","5.21","6","60.0","2","33.33","7.99","7.99","0","2","2","3","30.0","1","33.33","7.99","7.99","0","1","2","1","10.0","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"vegan green curry paste","907","45","1121","110","9.81","27","60.0","2","7.41","11.93","6.49","1","9","8","12","26.67","1","8.33","8.98","6.49","1","4","4","6","13.33","0","0.0","11.93",,"1","3","1","2023-09-30"
"kaffir lime leaf","456","687","17277","139","0.8","367","53.42","5","1.36","7.67","6.49","3","87","117","217","31.59","3","1.38","6.99","6.49","1","57","73","108","15.72","0","0.0","7.67",,"1","33","39","2023-09-30"
"curry organic","235","55","1680","90","5.36","21","38.18","2","9.52","8.69","7.99","1","5","7","10","18.18","2","20.0","6.49","7.99","0","2","2","4","7.27","2","50.0","6.49","7.99","0","1","1","2023-09-30"
"gluten free pasta","716","66241","1504086","357","0.02","28591","43.16","3","0.01","4.99","6.49","622","3782","3454","17680","26.69","2","0.01","4.19","6.49","285","1472","1304","7990","12.06","0","0.0","4.04",,"128","553","448","2023-09-30"
"sambal oelek ground fresh chili paste","851","673","18501","516","2.79","213","31.65","0","0.0","14.69",,"2","44","23","43","6.39","0","0.0","9.69",,"2","15","10","16","2.38","0","0.0","9.69",,"1","6","2","2023-09-30"
"red curry paste thai kitchen","45","158","3893","157","4.03","77","48.73","22","28.57","6.49","6.49","3","12","16","56","35.44","19","33.93","6.49","6.49","1","6","12","36","22.78","9","25.0","4.79","6.49","1","5","9","2023-09-30"
"thai basil sauce","132","265","7247","186","2.57","147","55.47","16","10.88","10.99","7.99","6","32","47","57","21.51","7","12.28","10.0","7.99","6","10","19","22","8.3","2","9.09","11.49","7.99","0","8","7","2023-09-30"
"thai kitchen red curry paste","51","636","18133","684","3.77","452","71.07","23","5.09","6.25","6.99","60","200","94","248","38.99","17","6.85","3.98","6.49","23","111","44","116","18.24","7","6.03","4.19","7.29","12","56","17","2023-09-30"
"tomatoes","265","250460","5409227","762","0.01","141641","56.55","4","0.0","3.59","6.49","54","176","158","127955","51.09","1","0.0","3.49","6.49","34","84","78","67182","26.82","1","0.0","3.39","6.49","17","35","26","2023-09-30"
"sambal badjak","771","346","10075","326","3.24","158","45.66","3","1.9","12.98","7.89","0","27","54","58","16.76","1","1.72","10.99","7.89","0","13","21","37","10.69","0","0.0","10.99",,"0","10","13","2023-09-30"
"tikka masala sauce organic","541","28","609","26","4.27","15","53.57","1","6.67","6.49","6.49","0","1","3","5","17.86","1","20.0","5.39","6.49","0","1","1","1","3.57","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"red curry paste organic","17","259","5934","409","6.89","150","57.92","70","46.67","6.49","6.99","1","24","15","106","40.93","57","53.77","6.49","6.99","0","14","8","52","20.08","29","55.77","6.49","7.29","0","5","5","2023-09-30"
"white miso paste","885","8894","231397","465","0.2","4677","52.59","0","0.0","11.94",,"213","1674","1063","2866","32.22","0","0.0","10.79",,"137","1041","611","1329","14.94","0","0.0","10.79",,"70","554","281","2023-09-30"
"red onions","991","5732","122007","324","0.27","3233","56.4","1","0.03","2.99","6.49","1","7","19","2914","50.84","0","0.0","2.79",,"0","6","12","1357","23.67","0","0.0","2.69",,"0","4","4","2023-09-30"
"lemon grass paste thai","93","322","9055","464","5.12","174","54.04","14","8.05","14.95","7.98","6","65","67","101","31.37","12","11.88","14.95","7.98","4","40","35","42","13.04","3","7.14","14.95","7.99","1","17","15","2023-09-30"
"tom yum paste gluten free","784","9","220","33","15.0","9","100.0","3","33.33","7.99","7.99","0","0","2","4","44.44","2","50.0","7.99","7.99","0","0","1","0","0.0","0",,,,"0","0","0","2023-09-30"
"scallions fresh organic","115","3558","72938","2456","3.37","2434","68.41","4","0.16","1.49","6.49","0","0","1","2324","65.32","4","0.17","1.49","6.49","0","0","0","1395","39.21","1","0.07","1.49","6.49","0","0","0","2023-09-30"
"frozen thai basil","514","6","115","5","4.35","4","66.67","2","50.0","7.99","7.99","0","0","0","3","50.0","1","33.33","12.99","7.99","0","0","0","1","16.67","1","100.0","7.99","7.99","0","0","0","2023-09-30"
"thai basil","14","8234","191318","5347","2.79","3490","42.39","146","4.18","3.99","7.99","28","410","354","2334","28.35","79","3.38","2.99","7.99","15","225","173","981","11.91","31","3.16","2.99","7.99","6","98","58","2023-09-30"
"lemongrass tumeric","294","6","232","14","6.03","3","50.0","3","100.0","6.49","6.49","0","0","1","3","50.0","3","100.0","6.49","6.49","0","0","1","1","16.67","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"ted curry","387","8","146","7","4.79","4","50.0","2","50.0","7.39","6.49","0","0","1","2","25.0","2","100.0","6.49","6.49","0","0","0","1","12.5","1","100.0","7.39","7.39","0","0","0","2023-09-30"
"mirin japanese cooking wine","799","5417","113968","282","0.25","2970","54.83","2","0.07","7.99","6.49","158","1093","914","1829","33.76","1","0.05","7.99","7.99","101","780","546","808","14.92","0","0.0","7.99",,"37","396","225","2023-09-30"
"yum yum sauce","129","12249","273611","2711","0.99","4134","33.75","10","0.24","19.99","6.49","102","907","1103","1482","12.1","1","0.07","14.99","6.49","41","369","344","596","4.87","1","0.17","13.16","6.49","15","166","140","2023-09-30"
"teriyaki sauce","891","37317","847596","458","0.05","16810","45.05","0","0.0","3.99",,"771","2693","1849","10846","29.06","0","0.0","3.69",,"534","1462","812","5020","13.45","0","0.0","3.79",,"266","672","342","2023-09-30"
"lemomgrass fresh","696","1","19","1","5.26","1","100.0","1","100.0","6.49","6.49","0","0","0","1","100.0","1","100.0","6.49","6.49","0","0","0","1","100.0","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"mekhala organic thai green curry paste","812","3","139","14","10.07","2","66.67","2","100.0","6.49","6.49","0","1","1","2","66.67","2","100.0","6.49","6.49","0","1","1","0","0.0","0",,,,"0","0","0","2023-09-30"
"coconut curry sauce","421","739","17502","165","0.94","364","49.26","1","0.27","9.49","7.99","14","72","84","170","23.0","1","0.59","8.69","7.99","6","33","34","59","7.98","1","1.69","7.99","7.99","1","9","14","2023-09-30"
"mekhala lemongrass paste","252","3","58","15","25.86","2","66.67","2","100.0","7.99","7.99","0","2","0","2","66.67","2","100.0","7.99","7.99","0","2","0","2","66.67","2","100.0","7.99","7.99","0","2","0","2023-09-30"
"pickled garlic","828","18588","395083","394","0.1","7133","38.37","5","0.07","14.99","6.49","165","1808","2665","3139","16.89","0","0.0","14.49",,"81","856","1238","992","5.34","0","0.0","14.99",,"28","349","386","2023-09-30"
"beef randang","390","4","117","6","5.13","9","225.0","2","22.22","10.99","7.89","0","0","7","5","125.0","2","40.0","8.27","7.89","0","0","4","3","75.0","1","33.33","18.9","18.9","0","0","2","2023-09-30"
"thai curry paste vegan","454","57","1619","101","6.24","29","50.88","1","3.45","11.93","6.49","4","11","3","14","24.56","1","7.14","3.98","6.49","3","6","1","4","7.02","1","25.0","3.98","6.49","0","3","0","2023-09-30"
"gluten free sauce","440","1815","42820","120","0.28","527","29.04","1","0.19","9.34","6.49","12","113","82","246","13.55","1","0.41","8.79","6.49","5","52","43","76","4.19","1","1.32","8.72","6.49","4","13","14","2023-09-30"
"rendang powder","349","58","1498","89","5.94","26","44.83","2","7.69","8.53","7.89","1","5","9","15","25.86","2","13.33","8.39","7.89","1","5","6","8","13.79","1","12.5","8.24","7.89","1","2","5","2023-09-30"
"thai kitchen gluten free red curry paste","228","45","1421","73","5.14","28","62.22","5","17.86","5.49","6.49","1","9","6","15","33.33","2","13.33","3.98","6.49","1","4","5","7","15.56","2","28.57","3.98","6.49","1","1","2","2023-09-30"
"mekhala curry paste","43","99","2332","836","35.85","50","50.51","46","92.0","7.99","7.99","0","19","14","19","19.19","18","94.74","9.49","7.99","0","8","4","9","9.09","9","100.0","7.99","7.99","0","3","3","2023-09-30"
"organic gochujang","110","370","10046","567","5.64","167","45.14","19","11.38","9.99","7.99","10","42","60","55","14.86","8","14.55","9.99","7.99","3","14","18","15","4.05","2","13.33","10.79","7.99","2","2","5","2023-09-30"
"vegan indian butter masala","568","6","114","10","8.77","3","50.0","1","33.33","7.99","7.99","0","0","3","1","16.67","1","100.0","7.99","7.99","0","0","1","1","16.67","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"mekhala organic gluten-free thai green curry paste","163","6","115","30","26.09","4","66.67","4","100.0","7.99","7.99","0","2","2","3","50.0","3","100.0","7.99","7.99","0","2","1","3","50.0","3","100.0","7.99","7.99","0","2","1","2023-09-30"
"vegan soup","896","10021","209466","160","0.08","4384","43.75","1","0.02","4.49","6.49","193","523","304","2696","26.9","1","0.04","4.49","6.49","114","290","149","1178","11.76","0","0.0","4.39",,"53","147","59","2023-09-30"
"malaysian sambal","424","115","3294","117","3.55","64","55.65","2","3.13","13.88","7.89","1","18","15","13","11.3","1","7.69","12.99","7.89","0","5","4","5","4.35","1","20.0","8.27","7.89","0","2","2","2023-09-30"
"sambal paste","423","82","2051","157","7.65","23","28.05","1","4.35","9.59","7.89","1","8","4","6","7.32","1","16.67","8.28","7.89","1","3","1","4","4.88","1","25.0","8.35","7.89","1","1","1","2023-09-30"
"thai curey mild","688","1","19","1","5.26","1","100.0","1","100.0","6.49","6.49","0","0","0","1","100.0","1","100.0","6.49","6.49","0","0","0","1","100.0","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"cambodian food","884","396","8851","136","1.54","79","19.95","2","2.53","14.95","6.49","2","23","24","27","6.82","1","3.7","14.95","7.99","1","7","13","6","1.52","0","0.0","12.99",,"0","2","4","2023-09-30"
"daikon radish","153","3082","69609","731","1.05","1005","32.61","9","0.9","6.49","6.49","3","95","129","570","18.49","6","1.05","5.65","6.49","1","31","33","244","7.92","1","0.41","2.49","6.49","0","11","13","2023-09-30"
"cabbage organic fresh","70","5590","112887","3272","2.9","3237","57.91","12","0.37","3.49","6.49","0","0","0","2823","50.5","6","0.21","3.49","6.49","0","0","0","1540","27.55","4","0.26","3.81","6.49","0","0","0","2023-09-30"
"greencurry paste","645","2","93","3","3.23","2","100.0","1","50.0","6.99","6.99","0","1","0","1","50.0","1","100.0","6.99","6.99","0","0","0","1","50.0","1","100.0","6.99","6.99","0","0","0","2023-09-30"
"thai sauces for cooking and seasoning","529","72","2227","35","1.57","19","26.39","1","5.26","13.09","7.99","0","6","4","9","12.5","1","11.11","7.99","7.99","0","2","2","3","4.17","1","33.33","7.99","7.99","0","0","0","2023-09-30"
"vegan yellow curry paste","249","25","805","66","8.2","21","84.0","6","28.57","8.6","7.99","0","8","5","13","52.0","4","30.77","7.99","6.49","0","6","3","2","8.0","1","50.0","6.5","7.99","0","1","0","2023-09-30"
"thai yellow curry powder","311","133","3321","84","2.53","73","54.89","5","6.85","11.98","7.99","2","21","35","22","16.54","2","9.09","9.99","7.99","0","7","11","10","7.52","1","10.0","9.99","7.99","0","4","4","2023-09-30"
"aioli","356","3664","82885","370","0.45","1289","35.18","1","0.08","7.29","6.49","54","204","172","712","19.43","1","0.14","6.29","6.49","26","104","96","283","7.72","1","0.35","5.79","6.49","14","45","26","2023-09-30"
"green curry paste thai","176","38","924","52","5.63","23","60.53","5","21.74","4.79","6.49","1","2","12","20","52.63","4","20.0","4.79","6.49","0","2","10","10","26.32","2","20.0","4.79","6.49","0","1","4","2023-09-30"
"masala paste","832","117","3216","133","4.14","50","42.74","5","10.0","9.99","7.99","1","15","23","23","19.66","1","4.35","8.7","7.99","0","6","12","5","4.27","0","0.0","11.5",,"0","1","4","2023-09-30"
"green curry paste thai kitchen","274","272","7148","307","4.29","160","58.82","7","4.38","6.27","7.99","9","58","47","104","38.24","2","1.92","4.79","6.49","7","43","32","50","18.38","1","2.0","4.79","7.99","4","19","18","2023-09-30"
"thai green paste","795","9","203","9","4.43","6","66.67","3","50.0","7.29","7.29","0","0","1","4","44.44","2","50.0","7.29","7.29","0","0","1","2","22.22","0","0.0","4.18",,"0","0","0","2023-09-30"
"tomato soup","287","33661","770422","665","0.09","17385","51.65","1","0.01","4.99","7.29","814","2386","1681","12839","38.14","1","0.01","4.99","7.29","617","1532","968","6512","19.35","1","0.02","4.99","7.29","316","832","475","2023-09-30"
"thai green curry","57","509","12507","405","3.24","218","42.83","24","11.01","6.49","6.49","10","50","52","111","21.81","13","11.71","5.99","6.49","4","22","27","47","9.23","7","14.89","6.27","6.49","2","11","12","2023-09-30"
"doubanjiang chili bean paste","439","1023","27433","87","0.32","545","53.27","2","0.37","12.99","6.99","23","230","182","270","26.39","1","0.37","12.99","7.39","5","113","95","115","11.24","1","0.87","11.99","7.39","3","54","36","2023-09-30"
"garlic paste in a tube","258","2614","59245","585","0.99","933","35.69","3","0.32","7.0","7.99","28","282","294","499","19.09","2","0.4","7.0","7.99","15","143","153","189","7.23","1","0.53","7.0","7.99","5","58","68","2023-09-30"
"mekhala organic yellow curry","597","1","33","6","18.18","1","100.0","1","100.0","22.17","22.17","0","0","0","1","100.0","1","100.0","22.17","22.17","0","0","0","1","100.0","1","100.0","22.17","22.17","0","0","0","2023-09-30"
"fire roasted tomatoes","253","8239","185473","717","0.39","5784","70.2","2","0.03","2.59","6.49","67","179","143","5245","63.66","2","0.04","2.49","6.49","47","121","101","2786","33.81","1","0.04","2.49","6.49","26","59","49","2023-09-30"
"thai holy basil leaves","584","45","1315","7","0.53","22","48.89","1","4.55","9.99","7.99","0","3","6","13","28.89","1","7.69","9.99","7.99","0","0","3","4","8.89","1","25.0","7.99","7.99","0","0","1","2023-09-30"
"radishes fresh","128","6319","127608","2200","1.72","3696","58.49","10","0.27","2.49","7.29","1","16","9","3427","54.23","3","0.09","2.49","6.49","0","12","5","1930","30.54","1","0.05","2.49","6.49","0","2","1","2023-09-30"
"coconut curry","860","1373","30699","354","1.15","593","43.19","4","0.67","6.99","6.99","8","59","67","262","19.08","0","0.0","5.99",,"3","20","19","92","6.7","0","0.0","6.29",,"2","5","7","2023-09-30"
"popular cooking paste","246","3","57","5","8.77","4","133.33","3","75.0","7.89","7.89","0","1","2","3","100.0","2","66.67","18.95","7.89","0","1","1","3","100.0","2","66.67","18.95","7.89","0","1","1","2023-09-30"
"bok choy","302","24401","519672","1117","0.21","11922","48.86","4","0.03","3.99","6.49","5","101","96","9291","38.08","1","0.01","3.99","6.49","3","49","45","4589","18.81","0","0.0","2.77",,"0","19","20","2023-09-30"
"ground turkey","930","130861","2826534","410","0.01","67546","51.62","0","0.0","6.99",,"5","32","20","56103","42.87","0","0.0","6.79",,"3","6","6","28058","21.44","0","0.0","6.99",,"2","3","2","2023-09-30"
"right rice","307","8257","190175","207","0.11","4200","50.87","2","0.05","14.29","6.49","138","1343","889","1724","20.88","2","0.12","6.08","6.49","59","455","311","782","9.47","1","0.13","8.99","6.49","35","232","126","2023-09-30"
"thai yellow organic curry paste","637","1","19","3","15.79","1","100.0","1","100.0","7.99","7.99","0","0","1","1","100.0","1","100.0","7.99","7.99","0","0","1","1","100.0","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"vegan","213","249165","4824083","663","0.01","61117","24.53","5","0.01","6.49","6.49","1231","3734","2900","37033","14.86","3","0.01","6.11","6.49","477","1259","824","11339","4.55","1","0.01","5.99","6.49","203","310","151","2023-09-30"
"red chili paste thai","463","75","1764","50","2.83","31","41.33","2","6.45","7.89","6.49","3","12","14","13","17.33","1","7.69","4.08","6.49","2","4","6","6","8.0","1","16.67","4.08","6.49","0","2","3","2023-09-30"
"angkor lemongrass paste","403","117","2840","285","10.04","82","70.09","5","6.1","14.95","7.99","3","23","39","60","51.28","3","5.0","14.95","7.99","3","19","27","19","16.24","0","0.0","14.95",,"0","9","5","2023-09-30"
"vegetable broth","111","30181","670857","2188","0.33","20483","67.87","8","0.04","2.79","6.99","407","1222","746","17066","56.55","3","0.02","2.79","6.99","298","742","413","8930","29.59","2","0.02","2.79","6.99","142","374","179","2023-09-30"
"garlic paste tube","843","891","19713","248","1.26","258","28.96","1","0.39","7.45","6.49","7","47","80","146","16.39","1","0.68","7.0","6.49","4","30","37","55","6.17","0","0.0","7.1",,"1","16","14","2023-09-30"
"madras curry sauce","996","123","2937","65","2.21","64","52.03","1","1.56","6.69","6.49","1","4","11","24","19.51","1","4.17","6.29","6.49","0","1","4","9","7.32","0","0.0","5.79",,"0","0","2","2023-09-30"
"yellow curry paste organic","181","32","773","84","10.87","17","53.13","8","47.06","8.55","7.99","0","6","3","7","21.88","6","85.71","7.99","7.99","0","2","2","1","3.13","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"mekhala organic thai tom yum asian cooking paste. vegan. gluten-free","934","7","198","41","20.71","3","42.86","3","100.0","7.99","7.99","1","0","1","1","14.29","1","100.0","7.89","7.89","0","0","0","0","0.0","0",,,,"0","0","0","2023-09-30"
"tum yum coconut soup","822","3","71","4","5.63","3","100.0","2","66.67","7.99","2.46","0","0","0","3","100.0","2","66.67","7.99","2.46","0","0","0","0","0.0","0",,,,"0","0","0","2023-09-30"
"tai chili paste","660","3","113","2","1.77","2","66.67","1","50.0","4.08","6.49","0","0","1","2","66.67","1","50.0","4.08","6.49","0","0","1","2","66.67","1","50.0","4.08","6.49","0","0","1","2023-09-30"
"organic masala paste","621","1","60","4","6.67","4","400.0","1","25.0","7.99","7.99","0","2","0","2","200.0","1","50.0","5.39","7.99","0","2","0","2","200.0","1","50.0","5.39","7.99","0","2","0","2023-09-30"
"yellow cury paste","593","4","96","6","6.25","2","50.0","1","50.0","7.39","7.39","0","0","0","2","50.0","1","50.0","7.39","7.39","0","0","0","2","50.0","1","50.0","7.39","7.39","0","0","0","2023-09-30"
"chili paste organic","330","71","1556","95","6.11","32","45.07","3","9.38","8.29","7.99","2","5","2","19","26.76","2","10.53","8.29","7.89","2","2","2","7","9.86","1","14.29","7.99","7.99","2","1","0","2023-09-30"
"vegan butter","791","21741","481505","568","0.12","10337","47.55","2","0.02","6.39","7.99","38","272","157","6686","30.75","0","0.0","6.39",,"13","91","53","2812","12.93","0","0.0","6.39",,"7","29","17","2023-09-30"
"yellow curry powder","47","1449","36917","1110","3.01","703","48.52","29","4.13","6.99","7.29","21","168","166","394","27.19","15","3.81","6.99","7.29","12","91","98","169","11.66","8","4.73","6.99","7.99","7","44","45","2023-09-30"
"ginger scallion oil sauce","691","1","19","1","5.26","1","100.0","1","100.0","7.99","7.99","0","1","0","1","100.0","1","100.0","7.99","7.99","0","1","0","1","100.0","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"gluten free thai yellow curry paste","602","1","60","5","8.33","1","100.0","1","100.0","6.49","6.49","0","1","0","1","100.0","1","100.0","6.49","6.49","0","1","0","1","100.0","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"pasta tom yum","713","41","823","79","9.6","18","43.9","4","22.22","8.99","7.29","0","5","8","10","24.39","3","30.0","7.99","7.29","0","5","3","2","4.88","0","0.0","9.59",,"0","1","1","2023-09-30"
"szechuan paste","32","455","12300","1045","8.5","177","38.9","45","25.42","9.99","7.99","3","87","57","83","18.24","24","28.92","9.79","7.99","1","44","25","43","9.45","18","41.86","8.27","7.99","0","27","11","2023-09-30"
"yellow rice","963","14203","306442","346","0.11","6278","44.2","1","0.02","2.99","6.99","183","752","603","4062","28.6","0","0.0","2.69",,"97","379","287","1484","10.45","0","0.0","2.79",,"36","151","110","2023-09-30"
"chinese dates","562","260","6775","11","0.16","120","46.15","1","0.83","14.99","6.49","7","36","47","50","19.23","1","2.0","14.95","6.49","5","14","18","20","7.69","1","5.0","14.95","6.49","3","5","7","2023-09-30"
"korean chili paste","39","1713","41466","1374","3.31","803","46.88","36","4.48","9.49","7.99","60","274","234","451","26.33","25","5.54","9.49","7.99","34","152","133","181","10.57","9","4.97","9.49","7.99","11","63","57","2023-09-30"
"miso soup","803","23992","576083","280","0.05","12340","51.43","2","0.02","8.19","6.49","1081","4151","3290","5442","22.68","1","0.02","8.19","6.49","522","1768","1296","2467","10.28","0","0.0","8.19",,"264","858","569","2023-09-30"
"mekhala organic tom yum paste","308","8","349","57","16.33","7","87.5","6","85.71","7.29","6.49","1","3","2","3","37.5","2","66.67","7.99","7.29","0","0","2","2","25.0","1","50.0","7.99","7.99","0","0","1","2023-09-30"
"minced lemongrass","889","64","1383","56","4.05","24","37.5","4","16.67","7.99","7.39","0","3","9","8","12.5","1","12.5","6.49","6.49","0","0","4","1","1.56","0","0.0","7.99",,"0","0","1","2023-09-30"
"dried scallions","482","555","15004","61","0.41","269","48.47","1","0.37","10.93","7.29","12","73","83","130","23.42","1","0.77","9.99","7.29","10","33","37","45","8.11","1","2.22","10.84","7.29","2","17","13","2023-09-30"
"mekhela chili-paste","623","2","38","4","10.53","2","100.0","1","50.0","7.99","7.99","0","1","0","1","50.0","1","100.0","7.99","7.99","0","1","0","1","50.0","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"red curry paste organic soy free","560","6","104","12","11.54","2","33.33","1","50.0","7.99","7.99","0","2","0","1","16.67","1","100.0","7.99","7.99","0","1","0","1","16.67","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"mekhala thai red curry","367","5","178","23","12.92","3","60.0","3","100.0","7.99","7.99","1","1","1","2","40.0","2","100.0","7.99","7.99","1","0","1","1","20.0","1","100.0","34.0","34.0","0","0","1","2023-09-30"
"red lentils organic","453","1642","39666","66","0.17","959","58.4","2","0.21","4.39","7.39","27","203","198","646","39.34","1","0.15","4.39","7.39","17","130","135","304","18.51","1","0.33","4.39","7.39","6","71","68","2023-09-30"
"asian aromatics","202","15","332","13","3.92","7","46.67","5","71.43","7.99","7.99","0","4","1","3","20.0","3","100.0","7.99","7.99","0","3","0","2","13.33","2","100.0","7.89","7.89","0","2","0","2023-09-30"
"basil","90","79058","1818780","3137","0.17","44215","55.93","13","0.03","3.49","7.99","585","2021","1213","39775","50.31","5","0.01","2.99","7.99","470","1483","782","20161","25.5","2","0.01","2.99","7.99","235","750","384","2023-09-30"
"mekhala miso ginger paste","242","6","155","15","9.68","3","50.0","3","100.0","7.99","7.99","0","2","1","2","33.33","2","100.0","7.99","7.99","0","2","0","2","33.33","2","100.0","7.99","7.99","0","2","0","2023-09-30"
"thai green chili paste","333","44","1255","52","4.14","18","40.91","4","22.22","5.79","7.99","1","4","8","11","25.0","2","18.18","4.79","7.99","1","3","4","6","13.64","1","16.67","4.79","7.99","1","1","3","2023-09-30"
